"Reference","Value","Footprint","Qty"
"C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C38,C40,C41,C43,C44,C45,C46,C47,C48,C51,C52,C53,C54,C55,C56","-- verschiedene Werte --","-- verschiedene Werte --","51"
"D1,D2,D3,D4,D5,D6,D7","-- verschiedene Werte --","-- verschiedene Werte --","7"
"F1,F2","Fuse","Fuse:Fuseholder_Cylinder-5x20mm_Schurter_0031_8201_Horizontal_Open","2"
"J1,J3,J4,J5,J6","-- verschiedene Werte --","-- verschiedene Werte --","5"
"JP2","BR","Jumper:SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm","1"
"K1","EE2-5NU","Relay_SMD:Relay_DPDT_Kemet_EE2_NU","1"
"L1","10u","Inductor_SMD:L_Taiyo-Yuden_NR-80xx","1"
"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8","-- verschiedene Werte --","-- verschiedene Werte --","8"
"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51","-- verschiedene Werte --","-- verschiedene Werte --","51"
"RN2,RN4,RN5","10k","Resistor_SMD:R_Array_Convex_4x0612","3"
"TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16,TP17,TP18,TP19,TP20,TP21,TP22,TP23,TP24,TP25,TP26,TP27,TP28,TP29,TP30,TP31,TP32","-- verschiedene Werte --","-- verschiedene Werte --","32"
"U1,U2,U3,U4,U5,U6,U7,U10,U11,U12,U13,U14,U15,U16,U18,U19,U20,U21","-- verschiedene Werte --","-- verschiedene Werte --","18"
